,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
177,Jackson Porozo Boavista,21, D(C),,7(4),696,0.7,2.1,0.9,0.1,3.7,-,0.6,-,6.64
178,Yan Moreirense,23, AM(R),,18(10),1571,0.8,0.4,0.5,-,-,0.9,-,-,6.64
179,Luiz Carlos Pacos de Ferreira,36, D(R),DMC,31(3),2532,1.7,0.9,2.1,-,0.8,1.6,0.2,-,6.63
180,Gelson Dala Rio Ave,25, AM(CL),FW,28(3),2514,0.7,0.2,1.0,-,0.4,0.3,-,-,6.63
181,Jordi Pacos de Ferreira,28, GK,,32,2880,0.1,-,0.1,-,1.5,-,-,-,6.63
182,Stefano Beltrame Maritimo,28, Midfielder,,1(2),111,0.7,-,0.3,-,-,0.3,-,-,6.63
183,Pedrão Nacional,24, D(C),,30,2700,1.4,1.9,1.3,0.5,4.5,0.3,1,1,6.63
184,Aylton Boa Morte Portimonense,28, AM(LR),,29(5),2574,1.0,0.5,1.4,-,0.2,0.6,-,-,6.63
185,Iván Jaime Famalicao,21, AM(CL),FW,14(8),1177,0.5,0.3,1.0,-,0.2,0.4,0.1,-,6.63
186,Nicolás Gaitán Braga,33, M(CLR),FW,5(13),650,0.7,0.5,0.8,-,0.2,0.8,-,-,6.63
187,Riccieli Famalicao,23, D(C),,22(4),1823,1.3,1.6,0.8,0.6,4,0.3,0.4,1,6.62
188,Silvio Vitoria de Guimaraes,34, D(LR),,10,857,1.1,1.7,1.3,0.2,1.6,0.3,0.3,-,6.62
189,Samuel Lino Gil Vicente,21, AM(LR),FW,21(12),2017,0.9,0.4,0.8,-,0.2,0.7,-,-,6.62
190,Lazar Rosic Moreirense,28, D(C),,32(1),2893,0.5,1.2,0.7,0.9,4.4,0.2,0.9,-,6.62
191,Yohan Tavares Tondela,33, D(C),,28,2424,1.6,1.8,1.1,0.5,4,0.3,0.8,1,6.62
192,Mateus Pasinato Moreirense,29, GK,,30,2700,-,-,-,-,1,-,-,-,6.62
193,Filipe Soares Moreirense,22, AM(C),FW,27(4),2404,1.1,0.5,1.6,-,0.4,1.2,0.2,2,6.62
194,David Carmo Braga,22, D(C),,11(1),999,1.6,1.6,2.6,0.8,2.8,0.2,0.6,-,6.62
195,Rafik Guitane Maritimo,22, AM(C),,18(8),1507,0.9,0.5,0.9,-,-,0.5,-,-,6.62
196,Pawel Kieszek Rio Ave,37, GK,,34,3060,-,-,-,-,0.9,0.1,-,-,6.62
197,Dudu Nacional,22, Forward,,1(2),31,0.7,0.3,-,-,-,0.3,-,-,6.62
198,Anthony D'Alberto Moreirense,27, D(LR),M(R),21(3),1772,1.9,1.5,1.5,0.1,1.1,0.9,0.4,-,6.61
199,Enzo Martínez Tondela,23, D(C),,21(8),1989,1.2,1.7,1,0.9,3.5,0.7,0.4,-,6.61
200,Samuel Portimonense,27, GK,,29(1),2671,0.1,-,-,-,1.2,-,-,1,6.61
201,Luiz Júnior Famalicao,20, GK,,23,2070,-,-,-,-,1.3,-,-,-,6.61
202,Fábio Coentrão Rio Ave,33, D(L),M(LR),11(2),934,0.6,1.2,1.2,0.1,1.8,0.8,0.2,-,6.61
203,Ygor Nogueira Gil Vicente,26, D(C),,21(3),1855,1.3,1.3,1.5,0.8,4.0,0.8,0.5,1,6.61
204,Rodrigão Gil Vicente,26, D(C),,23(7),2171,0.8,1.1,0.7,0.5,3.4,0.2,0.9,1,6.61
205,Lucas Piazon Braga,27, AM(CLR),FW,11(9),919,1.1,0.1,0.6,-,0.1,0.8,0.1,-,6.61
206,Afonso Taira Belenenses SAD,29, DMC,,19(12),1815,2.6,0.7,1.7,-,0.5,1.4,0.3,-,6.61
207,Andraz Sporar Sporting,27, FW,,6(7),576,0.2,0.1,0.4,-,0.1,-,0.1,-,6.6
208,Patrick Willian Famalicao,24, D(CR),,16(4),1492,1.7,1.4,1.7,0.2,2.7,0.8,0.4,-,6.6
209,Gonçalo Silva Belenenses SAD,30, D(CR),,18,1567,1.1,1.8,0.8,0.4,4.0,0.7,0.4,-,6.6
210,Amine Oudrhiri Farense,29, DMC,,31(1),2755,0.9,1.3,0.8,0.1,0.8,0.6,-,-,6.6
211,Júlio Romao Santa Clara,23, Midfielder,,2(3),194,1.4,0.8,0.8,-,1.2,0.2,0.4,-,6.6
212,Walterson Moreirense,26, AM(LR),FW,27(5),2411,1.4,0.8,1.4,-,0.6,1.0,0.1,-,6.6
213,Bebeto Tondela,31, D(R),,18(7),1471,3.0,1.2,1.6,0.2,1.3,1.4,0.1,-,6.59
214,Claude Goncalves Gil Vicente,27, M(C),,26(7),2269,1.4,1.0,1.6,-,0.6,1.0,0.2,-,6.59
215,Mateo Cassierra Belenenses SAD,24, FW,,23(9),1997,0.2,0.1,0.7,-,0.5,0.3,-,-,6.59
216,João Camacho Nacional,27, AM(LR),,20(8),1761,1.1,0.6,1.1,-,0.4,0.4,0.1,-,6.59
217,Cafu Belenenses SAD,27, D(C),DMC,24(3),2063,1.2,1.6,1.5,0.3,2.4,0.6,0.4,-,6.59
218,Bruno Jordão Famalicao,23, M(C),,7(2),632,1.3,1.3,1,-,1.0,0.8,-,-,6.59
219,Matheus Clemente Famalicao,23, Midfielder,,0(1),27,1.0,1.0,-,-,1.0,1.0,-,-,6.59
220,Diogo Figueiras Famalicao,30, D(LR),M(R),15(4),1391,1.7,1.6,0.8,-,0.8,0.9,0.2,-,6.58
221,Pedro Augusto Tondela,24, DMC,,20(7),1690,1.6,1.3,1.6,-,1.4,0.9,0.1,-,6.58
222,Fernando Fonseca Pacos de Ferreira,24, D(R),,30(2),2713,2.1,1.4,0.7,0.4,1.2,1.3,0.2,-,6.58
223,Adil Rami Boavista,35, D(C),,22,1800,0.8,1.5,0.6,0.3,3.7,0.1,0.4,-,6.58
224,Cristián Borja Braga,28, D(CL),M(L),8(5),778,1.3,1.2,0.8,0.2,1.2,0.5,0.1,-,6.58
225,Fali Candé Portimonense,23, D(L),,15(7),1361,1.2,0.9,0.8,-,1.5,0.5,0.2,-,6.58
226,Hélder Ferreira Pacos de Ferreira,24, AM(LR),,25(8),2024,1.0,0.4,1.0,0.1,1.0,0.9,0.1,-,6.57
227,João Mendes Tondela,27, Midfielder,,1(5),188,0.7,0.5,0.7,-,0.3,0.3,-,-,6.57
228,João Novais Braga,28, M(CLR),,9(17),1074,0.5,0.5,1.0,-,0.2,0.5,-,-,6.57
229,Claudio Falcão Farense,27, D(C),DMC,14(7),1323,2.1,1.0,1.4,0.3,2.8,0.8,0.4,-,6.57
230,Bruno Rodrigues Braga,20, D(C),,8(2),732,0.6,1,0.9,0.6,3,0.4,0.6,-,6.57
231,Matheus Nunes Sporting,23, M(C),,12(19),1259,0.6,0.4,1.1,-,0.4,0.3,0.1,-,6.57
232,André Almeida Vitoria de Guimaraes,21, AM(C),,21(9),1653,1,0.3,1.1,-,0.3,0.6,-,-,6.57
233,Shoya Nakajima Porto,27, AM(CL),,1(3),149,0.5,0.8,0.5,-,-,1,-,-,6.57
234,Antoine Leautey Gil Vicente,25, AM(LR),,16(9),1405,0.9,0.5,0.8,-,0.2,0.9,-,-,6.56
235,Bruno Varela Vitoria de Guimaraes,27, GK,,31,2790,0.1,-,-,-,1.4,-,-,-,6.56
236,Matheus Braga,29, GK,,32,2880,0.1,-,-,-,0.9,0.1,-,-,6.56
237,Henrique Belenenses SAD,35, D(CR),,25,2179,1,1.5,1.1,0.5,4.2,0.3,0.6,-,6.56
238,Roberto Olabe Tondela,25, AM(CL),,13(4),1104,1.4,0.6,2,0.1,0.5,1.1,0.1,-,6.56
239,António Filipe Nacional,36, GK,,9,810,-,-,-,-,1.1,-,-,-,6.56
240,Diogo Leite Porto,22, D(C),,12(7),1166,0.4,0.9,1.4,0.3,2.4,0.2,0.4,-,6.56
241,Steven Vitória Moreirense,34, D(C),,16(3),1389,0.8,1.2,1.1,0.6,2.4,0.3,0.3,-,6.56
242,Abel Ruiz Braga,21, FW,,16(9),1293,0.3,-,0.8,-,0.4,0.1,-,-,6.55
243,Marcelo Hermes Maritimo,26, D(L),M(L),22(5),2121,2.3,1.1,1.3,0.1,1.6,1.5,0.2,-,6.55
244,Fabrício Portimonense,31, AM(L),FW,21(7),1719,0.6,0.2,1.6,-,0.4,0.6,-,-,6.55
245,Rúben Fernandes Gil Vicente,35, D(CL),,32,2792,0.5,1.1,0.5,0.6,2.9,0.3,0.8,-,6.55
246,Abdu Conté Moreirense,23, D(L),M(L),21(1),1845,1.3,0.6,1.5,0.2,0.7,0.4,0.1,-,6.55
247,Jean Maritimo,27, DMC,,24(3),1958,2.8,1.5,1.6,-,1.5,1.7,0.7,-,6.54
248,Zié Ouattara Vitoria de Guimaraes,21, D(R),,6(4),571,1.1,0.8,0.9,0.2,0.9,0.2,0.1,-,6.54
249,Filipe Ferreira Tondela,31, D(L),M(L),31(1),2677,1.6,1.3,0.6,0.3,1.6,0.7,0.3,-,6.54
250,Beto Farense,39, GK,,11,990,-,0.1,-,-,0.4,-,-,-,6.54
251,Afonso Sousa Belenenses SAD,21, AM(CL),,20(12),1924,0.9,0.7,0.8,-,0.2,1,-,-,6.54
252,Vincent Thill Nacional,21, AM(R),,13(4),928,0.9,0.5,1.1,-,0.2,1.1,0.1,-,6.54
253,Fábio Nunes Farense,29, D(L),,20(2),1820,1.8,1.6,1.1,0.2,1.2,0.9,0.2,-,6.54
254,Pedro Mendes Nacional,22, FW,,7(5),629,0.2,0.4,0.8,-,0.3,0.4,0.3,1,6.54
255,Rúben Freitas Nacional,28, D(R),,18(3),1679,1.5,1.4,0.5,0.2,2.0,0.6,-,-,6.53
256,Ivo Pinto Rio Ave,31, D(CR),M(R),27,2294,1,1.1,1.1,0.2,1.6,0.6,0.2,-,6.53
