,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
236,6.76,Lincoln Flamengo,20, FW,4(7),390,3,1,1.6,0.7,0.7,0.7,0.1,1.5,1.2
237,6.76,Gabriel Corinthians,29, DMC,16(1),1377,-,-,0.3,0.8,0.4,0.9,-,0.4,0.4
238,6.76,Thiago Neves Cruzeiro,36, AM(CR),25(3),2113,6,5,2.9,1.5,0.9,1.1,0.1,1.1,1.8
239,6.76,Daniel Guedes Goias,27, D(R),13(2),1219,-,-,0.3,0.9,1.6,0.6,0.3,0.3,0.5
240,6.76,Gilson Botafogo RJ,35, D(L),18,1510,-,1,0.2,1.2,0.9,0.8,-,0.5,0.8
241,6.76,Igor Vinícius Sao Paulo,24, D(R),13(6),1197,1,2,0.5,0.6,1.1,0.9,-,0.6,1
242,6.75,Bryan Chapecoense AF,25, D(R),6(3),557,-,-,0.4,0.6,1,0.9,-,0.4,0.6
243,6.75,Alan Costa CS Alagoano,31, D(C),26,2278,1,-,0.4,0.2,0.1,0.2,0.1,0.1,0.2
244,6.75,Fabricio Bruno Cruzeiro,25, D(C),19,1710,-,-,0.4,0.3,-,0.6,-,0.2,0.1
245,6.75,Iury Avai FC,29, D(R),9(1),721,-,1,0.4,0.9,0.7,1.1,-,1,1.6
246,6.75,Carlinhos Fortaleza,34, D(L),27,2429,1,2,0.6,0.9,0.5,0.9,0.1,0.3,0.7
247,6.75,Douglas Augusto Bahia,24, DMC,7,595,-,-,1.4,1.4,0.7,0.9,-,0.9,0.9
248,6.75,Gum Chapecoense AF,35, D(C),20,1743,1,-,0.9,0.1,0.1,0.6,0.1,0.1,0.4
249,6.74,Júlio César Gremio,35, GK,8,720,-,-,-,-,-,-,-,-,-
250,6.74,Andrés D'Alessandro Internacional,40, AM(CR),15(8),1514,1,3,1.3,2,0.7,1.0,0.3,0.9,1.0
251,6.74,Felipe Ceara,31, AM(CLR),17(7),1415,1,2,0.9,1.7,1.9,0.3,-,1.2,1.0
252,6.74,Léo Avai FC,30, D(R),15(3),1314,-,2,0.7,0.8,1.9,1.4,0.1,0.6,1.4
253,6.74,Santiago Tréllez Internacional,31, AM(R),4,297,-,-,2.3,0.5,1.0,1.0,1.3,0.5,2.0
254,6.74,João Lucas Ceara,30, D(L),31(1),2770,1,-,0.7,1,1.1,0.2,0.1,0.7,1.0
255,6.74,Hernanes Sao Paulo,36, M(C),13(12),1243,2,4,1.7,1,1.3,0.9,-,0.9,1.5
256,6.73,Natanael Pimienta Internacional,30, D(L),7,547,-,-,0.4,-,1.6,0.9,-,0.4,0.9
